date,temperature,condition,humidity,wind_speed
11-11-2011,35.0,Sunny,44.0,30.0
05-06-2026,22.0,s,55.0,55.0
01-01-1999,33.0,Rainy,66.0,3.0
12-12-1999,22.0,Stormy,32.0,20.0
12-07-2026,20.0,Cloudy,10.0,10.0
11-12-1994,5.0,Rainy,55.0,88.0
07-01-2026,0.0,Sunny,0.0,0.0
03-08-2000,44.0,Sunny,40.0,40.0
08-23-2006,18.0,Cloudy,0.0,100.0
07-15-2026,40.0,Sunny,25.0,1.5
02-14-2015,15.0,Snowy,80.0,25.0
06-21-2020,31.0,Sunny,35.0,12.0
09-09-2018,19.0,Windy,50.0,65.0
04-03-2026,24.0,Cloudy,60.0,18.0
10-30-2010,8.0,Rainy,90.0,45.0
01-19-2026,-2.0,Snowy,70.0,30.0
07-04-2003,38.0,Sunny,20.0,8.0
12-25-2022,3.0,Snowy,85.0,15.0
05-17-2026,27.0,Windy,40.0,70.0
03-11-2008,16.0,Rainy,75.0,22.0
08-08-2026,42.0,Sunny,15.0,5.0
11-29-2019,10.0,Cloudy,55.0,10.0
06-06-2026,29.0,Stormy,95.0,90.0
02-02-1997,-5.0,Snowy,65.0,35.0
09-21-2026,21.0,Cloudy,45.0,20.0
04-14-2013,17.0,Rainy,80.0,40.0
07-22-2026,36.0,Sunny,10.0,3.0
10-10-2001,13.0,Windy,50.0,60.0
05-05-2026,23.0,Stormy,88.0,75.0
01-01-2026,1.0,Snowy,60.0,28.0
03-15-2026,26.0,Sunny,30.0,10.0
11-02-2016,7.0,Rainy,85.0,35.0
06-18-2026,33.0,Sunny,18.0,6.0
02-28-2009,-1.0,Snowy,75.0,20.0
08-11-2026,39.0,Sunny,12.0,4.0
04-30-2022,20.0,Windy,45.0,68.0
12-05-2026,4.0,Snowy,90.0,32.0
09-17-2005,25.0,Cloudy,50.0,15.0
07-07-2026,37.0,Sunny,14.0,7.0
05-25-2012,28.0,Stormy,92.0,80.0
10-01-2026,18.0,Cloudy,55.0,22.0
01-30-1998,-4.0,Snowy,68.0,40.0
06-09-2026,30.0,Windy,38.0,72.0
03-03-2003,12.0,Rainy,78.0,30.0
11-20-2026,9.0,Cloudy,60.0,18.0
07-19-2026,41.0,Sunny,8.0,2.0
02-09-2026,-3.0,Snowy,72.0,25.0
09-30-2014,22.0,Rainy,82.0,38.0
05-12-2026,32.0,Stormy,89.0,85.0
04-04-2026,19.0,Windy,42.0,60.0
08-01-1996,35.0,Sunny,22.0,9.0
12-31-2026,2.0,Snowy,65.0,20.0
06-26-2026,34.0,Sunny,16.0,5.0
10-15-2011,14.0,Windy,48.0,55.0
07-28-2026,43.0,Sunny,10.0,3.0
07-02-2026,33.0,Sunny,20.0,30.0
07-02-2026,22.0,Sunny,33.0,33.0
07-02-2026,34.0,Snowy,0.0,0.0
07-02-2026,34.0,Snowy,0.0,0.0
07-02-2026,43.0,Sunny,20.0,22.0
11-11-2001,2.0,Rainy,22.0,11.0
